name,cover,detail_url
御定渊鉴类函,https://a.dushu.com/img/n142.png,/guoxue/103404/
野记,https://a.dushu.com/img/n142.png,/guoxue/102031/
鸦片事略,https://a.dushu.com/img/n142.png,/guoxue/102030/
湘山野录,https://a.dushu.com/img/n142.png,/guoxue/102029/
湘军志,https://a.dushu.com/img/n142.png,/guoxue/102028/
献帝春秋,https://a.dushu.com/img/n142.png,/guoxue/102027/
熙朝新语,https://a.dushu.com/img/n142.png,/guoxue/102026/
西巡回銮始末,https://a.dushu.com/img/n142.png,/guoxue/102025/
郑氏史料续辑,https://a.dushu.com/img/n142.png,/guoxue/108257/
郑氏史料初编,https://a.dushu.com/img/n142.png,/guoxue/108256/
郑氏史料三编,https://a.dushu.com/img/n142.png,/guoxue/108255/
郑氏关系文书,https://a.dushu.com/img/n142.png,/guoxue/108254/
道光年间各省民数谷数清册,https://a.dushu.com/img/n142.png,/guoxue/108253/
路史,https://a.dushu.com/img/n142.png,/guoxue/108252/
纂修四库全书档案,https://a.dushu.com/img/n142.png,/guoxue/108251/
筹办夷务始末选辑,https://a.dushu.com/img/n142.png,/guoxue/108250/
睡虎地秦简,https://a.dushu.com/img/n142.png,/guoxue/108249/
甲戌公牍钞存,https://a.dushu.com/img/n142.png,/guoxue/108248/
方言巧对,https://a.dushu.com/img/n142.png,/guoxue/104330/
对联话,https://a.dushu.com/img/n142.png,/guoxue/104329/
对类,https://a.dushu.com/img/n142.png,/guoxue/104328/
声律发蒙,https://a.dushu.com/img/n142.png,/guoxue/104327/
四书韵对,https://a.dushu.com/img/n142.png,/guoxue/104326/
吴下谚联,https://a.dushu.com/img/n142.png,/guoxue/104325/
半九亭集,https://a.dushu.com/img/n142.png,/guoxue/104324/
初学晬盘,https://a.dushu.com/img/n142.png,/guoxue/104323/
仄韵声律启蒙,https://a.dushu.com/img/n142.png,/guoxue/104322/
笠翁对韵,https://a.dushu.com/img/n142.png,/guoxue/104321/
五代史补,https://a.dushu.com/img/n142.png,/guoxue/102301/
包公案-百家公案,https://a.dushu.com/img/n142.png,/guoxue/102300/
九家舊晉書輯本,https://a.dushu.com/img/n142.png,/guoxue/102299/
八家后汉书辑注,https://a.dushu.com/img/n142.png,/guoxue/102298/
東觀漢記校注,https://a.dushu.com/img/n142.png,/guoxue/102297/
北狩见闻录,https://a.dushu.com/img/n142.png,/guoxue/102296/
大金吊伐录,https://a.dushu.com/img/n142.png,/guoxue/102295/
续焚书,https://a.dushu.com/img/n142.png,/guoxue/108218/
焚书,https://a.dushu.com/img/n142.png,/guoxue/108216/
雪涛谐史,https://a.dushu.com/img/n142.png,/guoxue/104057/
解愠编,https://a.dushu.com/img/n142.png,/guoxue/104056/
笑林,https://a.dushu.com/img/n142.png,/guoxue/104055/
笑得好,https://a.dushu.com/img/n142.png,/guoxue/104054/
闽部疏,https://a.dushu.com/img/n142.png,/guoxue/124163/
闽县乡土志,https://a.dushu.com/img/n142.png,/guoxue/124162/
长安志,https://a.dushu.com/img/n142.png,/guoxue/124161/
长乐六里志,https://a.dushu.com/img/n142.png,/guoxue/124160/
锦州府志,https://a.dushu.com/img/n142.png,/guoxue/124159/
通鉴胡注举正,https://a.dushu.com/img/n142.png,/guoxue/101965/
通鉴续编,https://a.dushu.com/img/n142.png,/guoxue/101964/
通鉴地理通释,https://a.dushu.com/img/n142.png,/guoxue/101963/
资治通鉴释例,https://a.dushu.com/img/n142.png,/guoxue/101962/
御定子史精华,https://a.dushu.com/img/n142.png,/guoxue/103403/
御定分类字锦,https://a.dushu.com/img/n142.png,/guoxue/103402/
御定佩文韵府,https://a.dushu.com/img/n142.png,/guoxue/103401/
广博物志,https://a.dushu.com/img/n142.png,/guoxue/103400/
帝王经世图谱,https://a.dushu.com/img/n142.png,/guoxue/103399/
钦定古今储贰金鉴,https://a.dushu.com/img/n142.png,/guoxue/102370/
西夏书事,https://a.dushu.com/img/n142.png,/guoxue/102024/
西夏事略,https://a.dushu.com/img/n142.png,/guoxue/102023/
五国故事,https://a.dushu.com/img/n142.png,/guoxue/102022/
五代新说,https://a.dushu.com/img/n142.png,/guoxue/102021/
五代史阙文,https://a.dushu.com/img/n142.png,/guoxue/102020/
五代春秋,https://a.dushu.com/img/n142.png,/guoxue/102019/
魏晋世语,https://a.dushu.com/img/n142.png,/guoxue/102018/
万历野获编,https://a.dushu.com/img/n142.png,/guoxue/102017/
满洲实录,https://a.dushu.com/img/n142.png,/guoxue/108247/
满文老档,https://a.dushu.com/img/n142.png,/guoxue/108246/
满洲秘档选辑,https://a.dushu.com/img/n142.png,/guoxue/108245/
清实录顺治朝实录,https://a.dushu.com/img/n142.png,/guoxue/108241/
清实录雍正朝实录,https://a.dushu.com/img/n142.png,/guoxue/108240/
清实录道光朝实录,https://a.dushu.com/img/n142.png,/guoxue/108239/
清实录康熙朝实录,https://a.dushu.com/img/n142.png,/guoxue/108238/
清实录宣统朝政纪,https://a.dushu.com/img/n142.png,/guoxue/108237/
马氏南唐书,https://a.dushu.com/img/n142.png,/guoxue/102422/
陆氏南唐书,https://a.dushu.com/img/n142.png,/guoxue/102421/
朝鲜史略,https://a.dushu.com/img/n142.png,/guoxue/102420/
安南志略,https://a.dushu.com/img/n142.png,/guoxue/102419/
十国春秋,https://a.dushu.com/img/n142.png,/guoxue/102418/
别本十六国春秋,https://a.dushu.com/img/n142.png,/guoxue/102417/
初学晬盘,https://a.dushu.com/img/n142.png,/guoxue/104320/
楹联丛话全编,https://a.dushu.com/img/n142.png,/guoxue/104319/
笠翁对韵,https://a.dushu.com/img/n142.png,/guoxue/104318/
声律启蒙,https://a.dushu.com/img/n142.png,/guoxue/104317/
文赋,https://a.dushu.com/img/n142.png,/guoxue/104316/
哀江南赋,https://a.dushu.com/img/n142.png,/guoxue/104315/
二十四赋品,https://a.dushu.com/img/n142.png,/guoxue/104314/
五代史补,https://a.dushu.com/img/n142.png,/guoxue/102294/
契丹國志,https://a.dushu.com/img/n142.png,/guoxue/102293/
贞观政要,https://a.dushu.com/img/n142.png,/guoxue/102292/
松漠纪闻,https://a.dushu.com/img/n142.png,/guoxue/102291/
安南傳,https://a.dushu.com/img/n142.png,/guoxue/102290/
平宋录,https://a.dushu.com/img/n142.png,/guoxue/102289/
笑典,https://a.dushu.com/img/n142.png,/guoxue/104053/
广笑府,https://a.dushu.com/img/n142.png,/guoxue/104052/
古今笑史,https://a.dushu.com/img/n142.png,/guoxue/104051/
笑赞,https://a.dushu.com/img/n142.png,/guoxue/104050/
笑林,https://a.dushu.com/img/n142.png,/guoxue/104049/
十二笑,https://a.dushu.com/img/n142.png,/guoxue/104048/
笑赞,https://a.dushu.com/img/n142.png,/guoxue/104047/
锦县志,https://a.dushu.com/img/n142.png,/guoxue/124158/
铁岭县志,https://a.dushu.com/img/n142.png,/guoxue/124157/
钵池山志,https://a.dushu.com/img/n142.png,/guoxue/124156/
钦定满洲源流考,https://a.dushu.com/img/n142.png,/guoxue/124155/
钦定日下旧闻考,https://a.dushu.com/img/n142.png,/guoxue/124154/
资治通鉴考异,https://a.dushu.com/img/n142.png,/guoxue/101961/
资治通鉴目录,https://a.dushu.com/img/n142.png,/guoxue/101960/
资治通鉴四库,https://a.dushu.com/img/n142.png,/guoxue/101959/
资治通鉴后编,https://a.dushu.com/img/n142.png,/guoxue/101958/
山堂肆考,https://a.dushu.com/img/n142.png,/guoxue/103398/
小学绀珠,https://a.dushu.com/img/n142.png,/guoxue/103397/
小名录,https://a.dushu.com/img/n142.png,/guoxue/103396/
实宾录,https://a.dushu.com/img/n142.png,/guoxue/103395/
通鉴答问,https://a.dushu.com/img/n142.png,/guoxue/102369/
评鉴阐要,https://a.dushu.com/img/n142.png,/guoxue/102368/
涉史随笔,https://a.dushu.com/img/n142.png,/guoxue/102367/
外交小史,https://a.dushu.com/img/n142.png,/guoxue/102016/
唐国史补,https://a.dushu.com/img/n142.png,/guoxue/102015/
历代建元考,https://a.dushu.com/img/n142.png,/guoxue/102502/
清实录嘉庆朝实录,https://a.dushu.com/img/n142.png,/guoxue/108236/
清实录咸丰朝实录,https://a.dushu.com/img/n142.png,/guoxue/108235/
